GeneID,Hwang_D01,Hwang_D02,Hwang_D03,Hwang_D04,Hwang_D05,Hwang_D06,Hwang_D07,Hwang_D08,Hwang_D09,Hwang_N01,Hwang_N02,Hwang_N03,Hwang_N04,Hwang_N05,Hwang_N06,Hwang_N07,Hwang_N08,Hwang_N09,Hwang_N10,Hwang_N11,Hwang_N12,Hye_01,Hye_02,Hye_03,Hye_04,Hye_05,Hye_06,Hye_07,Hye_08,Hye_09,Hye_10,Hye_11,Hye_12,Hye_15,Hye_16,Hye_17,Hye_18,Prat_A7,Prat_A8,Prat_A10,Prat_A12,Prat_A14,Prat_A16,Prat_A18,Prat_A19,Prat_A20,Prat_A21,Prat_A22,Prat_A23,Prat_A24,Prat_A25,Prat_A27,Prat_A28,Prat_A29,Prat_A30,Prat_A31,Prat_A32,Prat_A33,Prat_A35,Prat_A37,Prat_A38,Prat_A39
1236,7390,1273,139,337,182,708,681,1890,2995,590,584,578,188,2127,245,1179,156,61,63,35,124,9,37,33,41,226,58,35,8,177,188,9,15,94,51,355,34,47,15,27,7,33,47,11,76,19,8,27,18,15,32,14,29,26,83,22,8,13,314,5,15,21
1240,104,66,0,9,16,165,0,5,0,30,0,0,0,79,41,23,0,0,0,0,4,70,535,47,2532,433,298,942,51,179,62,191,187,1638,121,320,465,253,238,491,163,221,514,539,391,270,454,728,445,232,539,169,316,175,322,386,303,139,409,79,143,654
135,505,697,496,568,777,176,61,2148,364,778,1591,542,407,334,247,527,70,425,67,151,181,88,67,48,78,143,60,45,42,90,236,380,26,136,40,163,49,99,37,59,35,56,90,94,135,123,51,78,152,65,64,24,102,54,76,64,34,48,225,43,197,77
1432,11675,5238,6592,17881,13280,5331,3641,61924,5586,6131,11519,13914,3393,9319,10476,11353,6247,7329,8923,2991,3679,2019,1369,945,1190,1398,1778,949,1455,1385,1884,1080,1188,1354,1112,1291,1113,1231,1522,809,474,780,1469,4716,1696,1707,810,2896,11105,1366,959,285,1258,1988,869,1221,943,1707,1232,1352,1504,1237
1436,3243,3530,704,1577,1766,5470,1823,8297,8245,1203,6926,8330,856,2071,4915,2273,353,208,793,248,1150,397,2196,336,21475,2367,1406,7382,288,933,1780,1013,1486,5405,1469,2993,1395,144,44,94,20,47,170,111,92,76,109,310,105,79,164,32,92,56,102,130,68,42,287,27,132,256
1439,9767,4050,2355,12929,2158,4616,1796,9931,8744,3853,7037,3628,1982,7444,3333,11175,607,315,623,1149,947,120,1091,180,5598,1880,750,2319,58,684,3802,1115,474,5663,964,3545,674,623,329,524,373,404,1025,421,1256,590,460,896,686,426,807,261,690,409,714,1421,600,198,1394,205,383,576
1485,0,0,0,0,0,0,0,43237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,24,27,17,23,55,46,63,35,27,38,5539,41,26,10,21,36,30,25,39,39,40,36,36,55
1493,1495,603,30,9,302,242,239,561,171,141,127,242,41,614,585,228,135,23,8,4,140,317,87,34,65,58,54,99,12,122,81,7,32,236,30,195,84,156,64,244,36,129,242,60,450,232,66,143,399,358,239,68,208,139,466,163,70,87,552,63,77,163
151888,2583,547,24,91,72,541,176,350,1316,118,79,288,1,1156,441,253,98,31,5,6,78,2,13,15,14,66,26,18,1,80,16,14,5,85,7,71,20,48,30,74,27,36,105,31,189,76,34,61,84,66,36,28,65,47,121,51,31,54,296,30,28,62
1520,15528,10204,1712,8012,3683,12225,7059,40898,13170,4608,3145,19668,756,13900,18507,8482,2101,1556,1266,1391,2425,340,6358,697,14459,1607,1793,8968,1263,1125,7562,1196,2325,12787,1387,6663,766,2449,1958,8674,1548,2131,4968,1782,1800,2028,2964,4972,1999,3701,2287,855,1338,2029,2624,3754,1294,880,2895,369,674,2521
1536,19577,7535,2324,8695,3736,11335,5190,30213,10015,3616,6410,15513,1224,7550,9956,5160,837,621,768,839,1738,777,5715,954,28644,4424,3771,22650,995,3035,7055,1907,2349,23495,2670,4950,2313,1122,266,1414,212,667,2331,848,724,689,1508,2462,942,447,1117,393,597,507,898,827,392,355,1658,79,310,1069
170482,759,494,0,10,44,119,50,45,990,34,58,0,0,615,91,75,0,0,0,4,3,2,7,10,0,3,1,2,1,17,16,2,1,3,0,20,0,24,30,36,12,26,51,30,62,30,20,55,47,26,26,49,34,24,44,27,61,23,255,26,37,29
1755,42,3681,472,165,3,139,793,7256,0,2,2524,805,1527,403,2301,30,1070,0,3,595,25,11,20,1188,177,25320,17,254536,43,42,358,16,13,249,53,27368,18,559,441,36,370,33,6612,42,1306,34998,34,242,331,36,2675,19,1997,275,1185,4734,70,37,319,647,21,36
1959,3596,4030,2909,2005,2956,14497,3738,6448,1849,2140,3893,4723,933,1821,5219,3149,4029,551,1117,2060,3263,127,338,151,3864,1047,223,719,82,640,563,76,341,607,829,2036,472,151,68,83,35,86,226,126,126,135,64,124,288,232,558,23,362,180,275,49,278,132,176,89,366,351
201633,3439,1315,860,596,778,1968,286,2418,615,1820,1028,463,164,1539,844,885,105,53,70,18,212,11,57,22,63,97,55,19,3,115,44,8,55,160,11,157,28,127,38,174,34,63,127,26,107,76,37,91,164,81,72,49,109,103,298,89,37,86,265,29,41,40
203068,11034,10171,9956,3148,38488,9651,4900,115787,7270,11265,64628,21167,5543,7181,37137,3627,18450,20337,10327,18168,15626,18390,18970,10727,11201,5437,11975,8577,7223,9256,8300,20591,14669,13924,18460,9713,11735,3140,1387,3333,387,1401,3227,8217,2015,2098,1533,10346,8327,964,1776,343,4802,6984,1932,1805,2547,10104,1257,1711,3488,4941
2207,6576,9940,8376,12464,5581,8827,3577,17608,4582,13304,23092,36254,6598,5406,7369,14259,725,950,1650,2341,2858,147,1470,237,6543,360,468,6283,187,357,5222,479,467,4119,433,741,412,1535,663,1510,325,977,2234,1384,637,941,1822,3490,2502,1769,1636,401,1335,1145,1637,910,967,631,2066,249,466,2483
2209,1262,1021,962,1392,607,3053,490,6904,2758,1939,1964,2763,248,821,1225,1800,86,114,411,554,468,103,1020,402,3179,869,996,2672,144,308,679,1958,605,7135,217,611,425,47,27,66,17,37,88,75,42,28,46,98,54,56,18,20,26,31,29,91,32,54,42,16,42,53
2213,668,416,169,219,0,349,87,1164,1019,334,820,171,276,32,328,240,77,35,36,72,137,35,336,75,6121,418,181,345,53,134,92,110,205,1131,68,216,122,272,343,879,30,326,690,167,318,176,325,616,343,214,314,122,261,283,154,542,204,100,393,45,104,180
